Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-01,56045,74055,Manutenção de Máquinas,Sudeste,Sim,2023-11-17,Manutenção de Equipamentos,Aquisição de materiais,95198,PIX,A Pagar,2023-02-26,66690,Pago,487428,Produção,69807,253812,73768,143698,28 parcelas até 2023-03-20,9430,2023-12-29,127,99213
2023-01-02,78095,48485,Qualidade,Sudeste,Não,2023-06-11,Venda de Produtos,Aquisição de materiais,63328,PIX,A Receber,2023-10-19,11912,Atrasado,481884,Controle de Qualidade,42795,295684,62877,979076,18 parcelas até 2023-04-12,18841,2023-04-14,173,92140
2023-01-03,32992,48994,Logística,Sul,Sim,2023-10-21,Venda de Produtos,Frete de entrega,119221,PIX,A Receber,2023-08-23,7163,Atrasado,328676,Produção,67088,177435,135333,849256,12 parcelas até 2023-09-29,41629,2023-02-23,247,41559
2023-01-04,90546,42988,Qualidade,Norte,Não,2023-11-14,Manutenção de Equipamentos,Venda a cliente,62546,Transferência,A Receber,2023-11-09,71985,Pago,305772,Manutenção,64022,166988,139356,391795,18 parcelas até 2023-08-29,12836,2023-03-18,70,59631
2023-01-05,32845,44882,Produção,Norte,Sim,2023-01-10,Venda de Produtos,Reparo de máquina,26927,PIX,A Pagar,2023-05-14,78273,Atrasado,56753,Logística,77135,264279,117925,816494,6 parcelas até 2023-12-31,15961,2023-04-05,346,142406
2023-01-06,90986,5905,Qualidade,Sudeste,Não,2023-11-09,Manutenção de Equipamentos,Venda a cliente,30923,Transferência,A Pagar,2023-07-09,20481,Pago,397444,Produção,58541,106940,57703,726038,20 parcelas até 2023-03-24,11538,2023-05-25,316,146245
2023-01-07,66196,23036,Manutenção de Máquinas,Sudeste,Não,2023-01-13,Venda de Produtos,Aquisição de materiais,95769,Cartão de Crédito,A Pagar,2023-05-24,35347,Atrasado,86179,Logística,61134,296564,37502,590581,18 parcelas até 2023-11-29,5292,2023-05-12,460,68224
2023-01-08,83178,11484,Logística,Nordeste,Não,2023-10-20,Manutenção de Equipamentos,Frete de entrega,37211,PIX,A Pagar,2023-03-26,7834,Atrasado,252902,Manutenção,54917,137522,146494,925851,36 parcelas até 2023-03-28,26934,2023-03-28,317,71159
2023-01-09,39037,31595,Logística,Norte,Não,2023-09-28,Manutenção de Equipamentos,Reparo de máquina,72492,Boleto,A Pagar,2023-03-31,10457,Pendente,471307,Controle de Qualidade,67338,191753,21696,233805,5 parcelas até 2023-06-21,33535,2023-12-13,229,143486
2023-01-10,63721,62796,Logística,Norte,Não,2023-02-27,Manutenção de Equipamentos,Venda a cliente,58045,PIX,A Pagar,2023-09-24,20014,Pendente,351858,Controle de Qualidade,63939,288041,36259,539055,31 parcelas até 2023-02-20,12414,2023-11-02,218,23867
2023-01-11,13256,31541,Qualidade,Sul,Sim,2023-11-25,Pagamento de Fornecedor,Venda a cliente,42465,Cartão de Crédito,A Receber,2023-07-14,70654,Atrasado,366557,Manutenção,55790,90019,118187,149611,16 parcelas até 2023-11-02,27422,2023-03-17,259,129114
2023-01-12,55106,65801,Produção,Sudeste,Sim,2023-04-19,Venda de Produtos,Frete de entrega,57505,PIX,A Receber,2023-05-23,67862,Pendente,103905,Controle de Qualidade,33686,295390,122854,871208,35 parcelas até 2023-04-27,9112,2023-07-21,417,35980
2023-01-13,58721,19360,Qualidade,Norte,Não,2023-10-04,Venda de Produtos,Reparo de máquina,62982,Transferência,A Pagar,2023-06-21,69361,Pago,489047,Manutenção,65468,223921,72782,288076,23 parcelas até 2023-11-06,41621,2023-10-12,313,33736
2023-01-14,78210,59283,Qualidade,Norte,Não,2023-03-04,Venda de Produtos,Frete de entrega,87251,Cartão de Crédito,A Receber,2023-01-22,13681,Pago,128565,Controle de Qualidade,71332,140269,139529,312846,18 parcelas até 2023-12-18,26988,2023-12-25,315,64217
2023-01-15,73660,24086,Qualidade,Sul,Sim,2023-04-30,Manutenção de Equipamentos,Frete de entrega,50322,Cartão de Crédito,A Pagar,2023-08-20,72912,Atrasado,424986,Controle de Qualidade,39640,100307,53329,573831,12 parcelas até 2023-02-18,26152,2023-07-23,316,97190
2023-01-16,24678,52809,Qualidade,Sul,Sim,2023-12-18,Manutenção de Equipamentos,Reparo de máquina,75661,Cartão de Crédito,A Pagar,2023-03-09,77301,Pendente,219228,Logística,49428,226014,78826,647618,20 parcelas até 2023-02-27,48396,2023-12-11,259,58573
2023-01-17,64041,50154,Produção,Sul,Sim,2023-05-24,Venda de Produtos,Frete de entrega,53113,Transferência,A Pagar,2023-06-01,33313,Atrasado,176642,Logística,41058,280213,50826,749703,33 parcelas até 2023-08-04,38834,2023-04-01,314,35524
2023-01-18,69023,55810,Produção,Nordeste,Não,2023-06-20,Compra de Matéria-prima,Reparo de máquina,49677,PIX,A Receber,2023-05-31,38683,Pago,131335,Logística,46114,170444,96233,372819,34 parcelas até 2023-11-08,48189,2023-12-25,473,110757
2023-01-19,21833,65247,Qualidade,Nordeste,Não,2023-05-14,Pagamento de Fornecedor,Aquisição de materiais,36346,Boleto,A Pagar,2023-07-03,64441,Pendente,88474,Manutenção,80569,210200,101865,701517,16 parcelas até 2023-03-29,48526,2023-05-30,161,61570
2023-01-20,15395,51195,Produção,Norte,Sim,2023-07-29,Pagamento de Fornecedor,Venda a cliente,88944,PIX,A Pagar,2023-07-13,17224,Pago,337954,Controle de Qualidade,87489,188385,50559,373661,8 parcelas até 2023-03-01,12362,2023-01-25,307,146245
2023-01-21,93025,8842,Manutenção de Máquinas,Nordeste,Sim,2023-02-01,Venda de Produtos,Venda a cliente,44369,Transferência,A Receber,2023-10-23,28896,Pago,235071,Produção,92205,144651,27306,809322,8 parcelas até 2023-06-22,48946,2023-04-16,144,145463
2023-01-22,53930,25914,Logística,Nordeste,Não,2023-01-07,Manutenção de Equipamentos,Venda a cliente,43505,Transferência,A Receber,2023-06-30,66921,Atrasado,135872,Logística,30216,284180,125141,424938,11 parcelas até 2023-02-26,28006,2023-04-03,282,23731
2023-01-23,34284,62279,Produção,Sul,Sim,2023-01-01,Venda de Produtos,Venda a cliente,92199,Transferência,A Pagar,2023-04-17,64247,Pago,486957,Logística,51858,283731,118479,471679,9 parcelas até 2023-01-02,45603,2023-05-15,230,139918
2023-01-24,21325,46438,Produção,Sudeste,Não,2023-08-30,Venda de Produtos,Frete de entrega,99089,PIX,A Pagar,2023-01-02,33402,Pago,199906,Produção,84602,154528,39950,564264,4 parcelas até 2023-01-15,33560,2023-11-04,307,18762
2023-01-25,31459,62238,Logística,Sul,Não,2023-11-16,Manutenção de Equipamentos,Frete de entrega,13395,Transferência,A Pagar,2023-03-28,75592,Pendente,74247,Logística,74135,242079,55737,674592,5 parcelas até 2023-06-24,9945,2023-09-26,367,100211
2023-01-26,13033,16196,Qualidade,Sudeste,Sim,2023-04-08,Manutenção de Equipamentos,Reparo de máquina,24306,Cartão de Crédito,A Pagar,2023-05-19,77331,Pago,142700,Logística,34394,135541,59359,318127,22 parcelas até 2023-06-24,28560,2023-10-25,305,102650
2023-01-27,82785,36278,Qualidade,Sudeste,Não,2023-11-25,Manutenção de Equipamentos,Venda a cliente,77933,PIX,A Pagar,2023-06-11,76603,Pendente,236561,Controle de Qualidade,76809,183679,21216,343229,20 parcelas até 2023-10-04,39680,2023-08-19,51,97672
2023-01-28,61878,67369,Manutenção de Máquinas,Sul,Sim,2023-04-12,Compra de Matéria-prima,Aquisição de materiais,81151,Transferência,A Receber,2023-02-16,22247,Atrasado,492613,Controle de Qualidade,89053,236815,108210,694486,23 parcelas até 2023-06-21,28894,2023-08-22,286,33053
