Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-01,60160,19849,E-commerce,Sul,Sim,2023-02-28,Anúncios Online,Taxa de Anúncio,33280,Boleto,A Pagar,2023-01-28,12431,Pago,199964,E-commerce,44111,68470,28214,465286,24 parcelas até 2023-08-16,27113,2023-10-25,48,3914
2023-01-02,22989,18506,E-commerce,Nordeste,Sim,2023-03-25,Design Gráfico,Gestão de Redes Sociais,23446,Boleto,A Pagar,2023-08-14,12796,Pendente,39439,E-commerce,27077,138116,38605,299248,27 parcelas até 2023-08-01,23503,2023-01-19,23,14910
2023-01-03,60015,14440,Criação de Conteúdo,Sudeste,Não,2023-07-26,Design Gráfico,Taxa de Anúncio,44946,Boleto,A Receber,2023-09-03,36653,Atrasado,79578,Relacionamento com Cliente,46423,142106,14436,329819,11 parcelas até 2023-06-20,8774,2023-06-06,34,28511
2023-01-04,49522,33458,Criação de Conteúdo,Nordeste,Não,2023-11-29,Consultoria de Marketing,Gestão de Redes Sociais,38645,Boleto,A Pagar,2023-02-03,26858,Pendente,65397,E-commerce,11093,55414,26927,499455,5 parcelas até 2023-01-02,12753,2023-09-13,37,22661
2023-01-05,13361,16145,Campanha Publicitária,Norte,Sim,2023-12-28,Design Gráfico,Pagamento por Campanha,10348,PIX,A Pagar,2023-12-16,26044,Pendente,144860,E-commerce,44441,123325,58667,233704,20 parcelas até 2023-08-12,29831,2023-05-03,14,2508
2023-01-06,44760,46655,SEO/SEM,Sudeste,Sim,2023-05-14,Consultoria de Marketing,Gestão de Redes Sociais,40554,Boleto,A Receber,2023-07-23,3087,Pendente,122547,Relacionamento com Cliente,46778,74247,60014,73660,24 parcelas até 2023-03-04,27542,2023-05-22,46,2680
2023-01-07,65290,36466,Criação de Conteúdo,Nordeste,Não,2023-11-03,Design Gráfico,Taxa de Anúncio,53319,Boleto,A Pagar,2023-06-06,8373,Atrasado,180896,Publicidade,45626,55636,18692,184575,11 parcelas até 2023-08-25,9011,2023-03-22,39,25815
2023-01-08,46521,4327,Criação de Conteúdo,Sul,Não,2023-12-06,Consultoria de Marketing,Pagamento por Campanha,37429,PIX,A Receber,2023-03-15,28368,Pendente,139155,Marketing Digital,19903,87582,13884,246002,3 parcelas até 2023-06-10,20055,2023-02-08,49,29631
2023-01-09,32183,30092,E-commerce,Sudeste,Sim,2023-03-09,Anúncios Online,Pagamento por Campanha,25048,Transferência,A Receber,2023-05-15,29926,Pago,88644,E-commerce,38571,72947,11504,412903,24 parcelas até 2023-08-03,29709,2023-08-25,21,10325
2023-01-10,18972,24232,SEO/SEM,Nordeste,Não,2023-09-12,Design Gráfico,Pagamento por Campanha,37855,Cartão de Crédito,A Receber,2023-02-05,3753,Pago,90387,Marketing Digital,25125,21046,44319,82842,4 parcelas até 2023-05-21,22282,2023-06-28,18,23573
2023-01-11,69546,49207,Campanha Publicitária,Nordeste,Não,2023-03-09,Planejamento de Mídia,Taxa de Anúncio,69316,Cartão de Crédito,A Receber,2023-06-12,17591,Atrasado,126560,Marketing Digital,30037,120981,37310,59543,18 parcelas até 2023-08-22,8190,2023-02-12,27,21490
2023-01-12,41833,48368,E-commerce,Norte,Não,2023-10-25,Anúncios Online,Produção de Vídeo,28783,Boleto,A Pagar,2023-09-22,7302,Pendente,127853,Publicidade,13248,80221,40870,347195,23 parcelas até 2023-11-15,28477,2023-04-10,44,22326
2023-01-13,40464,30285,SEO/SEM,Norte,Sim,2023-09-03,Consultoria de Marketing,Taxa de Anúncio,50339,PIX,A Pagar,2023-03-02,33455,Atrasado,69459,Relacionamento com Cliente,48410,56203,45881,326953,22 parcelas até 2023-09-30,26389,2023-02-10,14,23519
2023-01-14,45285,33440,E-commerce,Sudeste,Sim,2023-11-28,Design Gráfico,Pagamento por Campanha,49259,Transferência,A Pagar,2023-05-21,6228,Pendente,164143,Marketing Digital,11030,90895,59408,312104,26 parcelas até 2023-05-15,14977,2023-01-29,18,10950
2023-01-15,15638,24807,Criação de Conteúdo,Sudeste,Sim,2023-02-03,Design Gráfico,Pagamento por Campanha,68485,PIX,A Pagar,2023-10-11,29663,Pendente,75827,Relacionamento com Cliente,39282,142848,24245,35570,6 parcelas até 2023-09-04,5023,2023-02-01,16,17778
2023-01-16,33543,9175,Criação de Conteúdo,Norte,Sim,2023-03-30,Anúncios Online,Produção de Vídeo,73508,Transferência,A Receber,2023-03-25,36833,Pendente,199873,Relacionamento com Cliente,24424,121426,33445,66765,20 parcelas até 2023-12-04,12445,2023-12-02,5,26443
2023-01-17,7802,38824,Campanha Publicitária,Sudeste,Sim,2023-11-07,Anúncios Online,Taxa de Anúncio,28724,Transferência,A Pagar,2023-09-22,29481,Atrasado,50557,E-commerce,24083,37712,23280,117072,17 parcelas até 2023-03-02,3128,2023-02-12,18,24905
2023-01-18,5704,22809,E-commerce,Sudeste,Não,2023-04-04,Planejamento de Mídia,Produção de Vídeo,68035,PIX,A Receber,2023-02-17,29692,Pendente,78616,Relacionamento com Cliente,24400,106861,45342,199012,21 parcelas até 2023-06-25,16304,2023-06-10,33,7977
2023-01-19,64449,7067,Campanha Publicitária,Nordeste,Sim,2023-06-30,Anúncios Online,Taxa de Anúncio,64887,Transferência,A Receber,2023-12-19,34945,Pago,54326,E-commerce,39351,59030,24752,121043,33 parcelas até 2023-12-28,22161,2023-03-13,24,13232
2023-01-20,51832,42963,Criação de Conteúdo,Sudeste,Sim,2023-10-02,Planejamento de Mídia,Pagamento por Campanha,79199,PIX,A Pagar,2023-06-02,6957,Pago,59822,E-commerce,33390,23219,23380,380129,5 parcelas até 2023-02-11,4682,2023-08-25,23,12906
2023-01-21,11539,32809,Campanha Publicitária,Sul,Não,2023-03-31,Consultoria de Marketing,Taxa de Anúncio,76262,PIX,A Pagar,2023-05-21,24218,Pendente,30993,Relacionamento com Cliente,24269,113852,44351,250409,24 parcelas até 2023-03-28,17582,2023-09-01,16,15032
2023-01-22,32347,38951,SEO/SEM,Sul,Sim,2023-03-15,Planejamento de Mídia,Taxa de Anúncio,32799,Transferência,A Receber,2023-01-23,20063,Pago,56380,Publicidade,45642,84566,40688,112199,34 parcelas até 2023-08-07,4663,2023-10-21,42,25253
2023-01-23,52015,38602,SEO/SEM,Sudeste,Sim,2023-06-15,Consultoria de Marketing,Produção de Vídeo,61111,Cartão de Crédito,A Pagar,2023-01-18,18526,Atrasado,179207,Marketing Digital,47776,72349,30289,83299,28 parcelas até 2023-11-30,3118,2023-11-30,17,18100
2023-01-24,28741,28082,Criação de Conteúdo,Nordeste,Não,2023-01-01,Anúncios Online,Produção de Vídeo,23327,Transferência,A Pagar,2023-05-02,36863,Atrasado,163077,Publicidade,24034,60740,14693,173460,26 parcelas até 2023-11-14,17400,2023-01-25,43,24677
2023-01-25,47199,24531,E-commerce,Sudeste,Não,2023-11-02,Anúncios Online,Pagamento por Campanha,31144,Transferência,A Pagar,2023-08-03,21284,Pendente,31247,Relacionamento com Cliente,26321,52560,24261,56419,18 parcelas até 2023-05-01,29284,2023-04-08,35,24383
2023-01-26,66127,11044,Criação de Conteúdo,Norte,Não,2023-12-07,Consultoria de Marketing,Pagamento por Campanha,45055,Cartão de Crédito,A Pagar,2023-03-31,6242,Atrasado,125902,Publicidade,21607,42693,37400,440556,29 parcelas até 2023-07-06,8525,2023-09-29,11,5624
2023-01-27,36914,29221,Campanha Publicitária,Norte,Não,2023-09-03,Consultoria de Marketing,Pagamento por Campanha,11447,PIX,A Receber,2023-02-09,12906,Pendente,179735,E-commerce,35778,65148,40481,444800,8 parcelas até 2023-11-24,28656,2023-01-19,45,5591
2023-01-28,23250,38402,SEO/SEM,Norte,Não,2023-05-27,Design Gráfico,Taxa de Anúncio,35274,PIX,A Pagar,2023-01-20,17510,Pago,112487,Publicidade,27043,146503,34025,158236,25 parcelas até 2023-07-21,21419,2023-06-05,18,18189
2023-01-29,5361,38299,Campanha Publicitária,Norte,Não,2023-10-22,Planejamento de Mídia,Taxa de Anúncio,12122,Transferência,A Receber,2023-08-02,26532,Atrasado,69588,Relacionamento com Cliente,42126,75859,50393,486059,36 parcelas até 2023-06-18,6592,2023-08-29,21,18735
2023-01-30,14063,6567,Criação de Conteúdo,Norte,Não,2023-05-25,Consultoria de Marketing,Gestão de Redes Sociais,31383,Cartão de Crédito,A Receber,2023-11-15,11448,Atrasado,146137,Marketing Digital,30203,131974,50221,73700,1 parcelas até 2023-01-24,27580,2023-11-19,30,6986
2023-01-31,11769,19433,Campanha Publicitária,Norte,Não,2023-03-26,Consultoria de Marketing,Taxa de Anúncio,57775,Transferência,A Receber,2023-03-31,11225,Pago,184536,E-commerce,36465,47826,65037,53400,12 parcelas até 2023-04-28,12375,2023-04-28,23,4509
2023-02-01,7828,37563,Criação de Conteúdo,Norte,Sim,2023-07-10,Consultoria de Marketing,Produção de Vídeo,32435,Transferência,A Pagar,2023-02-22,27383,Atrasado,44942,Publicidade,33861,67064,62716,444972,13 parcelas até 2023-09-30,27413,2023-07-20,9,7896
